
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.56764e+00 | std:  4.53015e+01 | min: -1.14932e+02 | max:  1.52278e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -8.47909e-01 | std:  4.23844e+01 | min: -1.02670e+02 | max:  1.12514e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -9.63542e-02 | std:  2.85446e+02 | min: -7.77500e+02 | max:  5.91000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  2.37478e+01 | std:  2.09676e+02 | min: -2.20000e+02 | max:  3.98000e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  7.90225e+00 | std:  3.84210e+02 | min: -1.74500e+03 | max:  1.72200e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  5.80284e+01 | std:  4.83104e+02 | min: -1.21800e+03 | max:  1.64800e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  1.50852e-01 | std:  2.65681e+01 | min: -1.24188e+02 | max:  1.19062e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -6.08031e+00 | std:  1.13361e+02 | min: -4.11750e+02 | max:  3.97000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  2.07131e-02 | std:  1.36576e+01 | min: -6.12500e+01 | max:  6.38125e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.98738e+00 | std:  5.93264e+01 | min: -2.53625e+02 | max:  2.28750e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  4.42386e-02 | std:  7.33714e+01 | min: -4.54750e+02 | max:  3.39250e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.02764e+00 | std:  8.74665e+01 | min: -3.18500e+02 | max:  3.22250e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean:  1.58312e-02 | std:  4.89277e+01 | min: -2.44875e+02 | max:  2.82500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  5.80284e+01 | std:  4.83104e+02 | min: -1.21800e+03 | max:  1.64800e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  9.14644e-02 | std:  1.15886e+01 | min: -7.70000e+01 | max:  6.56875e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -6.08031e+00 | std:  1.13361e+02 | min: -4.11750e+02 | max:  3.97000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  4.34497e-02 | std:  6.04895e+00 | min: -3.85938e+01 | max:  3.62500e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -1.98738e+00 | std:  5.93264e+01 | min: -2.53625e+02 | max:  2.28750e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  2.95086e-02 | std:  9.13097e+00 | min: -6.45000e+01 | max:  5.23438e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.02764e+00 | std:  8.74665e+01 | min: -3.18500e+02 | max:  3.22250e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean:  6.95346e-01 | std:  2.73228e+01 | min: -8.34633e+01 | max:  6.24847e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -2.94656e-01 | std:  2.09475e+01 | min: -5.08664e+01 | max:  4.94508e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -2.56701e+01 | std:  1.06014e+02 | min: -1.60125e+02 | max:  1.91375e+02
